铝（Al）的宏观截面数据：
能量	康普顿效应截面	光电效应截面
(MeV)	(cm-1)	(cm-1)
1.00E-03	1.7264E+00	1.4310E+05
1.50E-03	2.9970E+00	4.8411E+04
1.56E-03	3.1374E+00	4.3551E+04
1.56E-03	3.1374E+00	4.7844E+05
2.00E-03	4.0824E+00	2.7351E+05
3.00E-03	5.7240E+00	9.5148E+04
4.00E-03	7.0281E+00	4.3443E+04
5.00E-03	8.2107E+00	2.3252E+04
6.00E-03	9.3096E+00	1.3821E+04
8.00E-03	1.1240E+01	5.9886E+03
1.00E-02	1.2798E+01	3.0915E+03
1.50E-02	1.5304E+01	9.0909E+02
2.00E-02	1.6583E+01	3.7503E+02
3.00E-02	1.7715E+01	1.0552E+02
4.00E-02	1.8077E+01	4.2390E+01
5.00E-02	1.8095E+01	2.0779E+01
6.00E-02	1.7942E+01	1.1570E+01
8.00E-02	1.7407E+01	4.5765E+00
1.00E-01	1.6789E+01	2.2262E+00
1.50E-01	1.5331E+01	6.0399E-01
2.00E-01	1.4129E+01	2.4219E-01
3.00E-01	1.2347E+01	6.9471E-02
4.00E-01	1.1084E+01	2.9997E-02
5.00E-01	1.0130E+01	1.6257E-02
6.00E-01	9.3798E+00	1.0163E-02
8.00E-01	8.2431E+00	5.1435E-03
