NaI(Tl)闪烁体宏观截面数据： 
能量	康普顿效应截面	光电效应截面
(MeV)	(cm-1)	(cm-1)
1.000E-03	2.1712E-02	2.8604E+04
1.035E-03	2.2915E-02	2.6589E+04
1.072E-03	2.4171E-02	2.4721E+04
1.072E-03	2.4174E-02	2.9081E+04
1.500E-03	3.9086E-02	1.3950E+04
2.000E-03	5.6555E-02	7.0354E+03
3.000E-03	9.0245E-02	2.5701E+03
4.000E-03	1.2082E-01	1.2298E+03
4.557E-03	1.3623E-01	8.7603E+02
4.557E-03	1.3623E-01	2.4167E+03
4.702E-03	1.4005E-01	2.2629E+03
4.852E-03	1.4397E-01	2.1191E+03
4.852E-03	1.4397E-01	2.8329E+03
5.000E-03	1.4775E-01	2.6707E+03
5.188E-03	1.5249E-01	2.4262E+03
5.188E-03	1.5249E-01	2.7907E+03
6.000E-03	1.7172E-01	1.9440E+03
8.000E-03	2.1282E-01	9.1346E+02
1.000E-02	2.4703E-01	5.0463E+02
1.500E-02	3.0865E-01	1.6772E+02
2.000E-02	3.4729E-01	7.5675E+01
3.000E-02	3.9159E-01	2.4248E+01
3.317E-02	4.0003E-01	1.8247E+01
3.317E-02	4.0003E-01	1.0922E+02
4.000E-02	4.1361E-01	6.6941E+01
5.000E-02	4.2462E-01	3.6920E+01
6.000E-02	4.2902E-01	2.2427E+01
8.000E-02	4.2756E-01	1.0078E+01
1.000E-01	4.1985E-01	5.3655E+00
1.500E-01	3.9306E-01	1.6853E+00
2.000E-01	3.6700E-01	7.4097E-01
3.000E-01	3.2516E-01	2.3785E-01
4.000E-01	2.9393E-01	1.0962E-01
5.000E-01	2.6978E-01	6.1803E-02
6.000E-01	2.5037E-01	3.9599E-02
8.000E-01	2.2064E-01	2.0508E-02
